source_file,disease,cases
1958week_0001_tables.csv,Chickenpox,
1958week_0001_tables.csv,Mumps,
1958week_0002_tables.csv,Chickenpox,649
1958week_0002_tables.csv,Mumps,303
1958week_0003_tables.csv,Chickenpox,1166
1958week_0003_tables.csv,Mumps,516
1958week_0004_tables.csv,Chickenpox,784
1958week_0004_tables.csv,Mumps,496
1958week_0005_tables.csv,Chickenpox,810
1958week_0005_tables.csv,Mumps,335
1958week_0006_tables.csv,Chickenpox,741
1958week_0006_tables.csv,Mumps,362
1958week_0007_tables.csv,Chickenpox,638
1958week_0007_tables.csv,Mumps,419
1958week_0008_tables.csv,Chickenpox,898
1958week_0008_tables.csv,Mumps,286
1958week_0009_tables.csv,Chickenpox,822
1958week_0009_tables.csv,Mumps,344
1958week_0010_tables.csv,Chickenpox,989
1958week_0010_tables.csv,Mumps,323
1958week_0011_tables.csv,Chickenpox,832
1958week_0011_tables.csv,Mumps,334
1958week_0012_tables.csv,Chickenpox,768
1958week_0012_tables.csv,Mumps,342
1958week_0013_tables.csv,Chickenpox,845
1958week_0013_tables.csv,Mumps,496
1958week_0014_tables.csv,Chickenpox,903
1958week_0014_tables.csv,Mumps,444
1958week_0015_tables.csv,Chickenpox,623
1958week_0015_tables.csv,Mumps,272
1958week_0016_tables.csv,Chickenpox,608
1958week_0016_tables.csv,Mumps,242
1958week_0017_tables.csv,Chickenpox,873
1958week_0017_tables.csv,Mumps,395
1958week_0018_tables.csv,Chickenpox,768
1958week_0018_tables.csv,Mumps,364
1958week_0019_tables.csv,Chickenpox,780
1958week_0019_tables.csv,Mumps,
1958week_0020_tables.csv,Chickenpox,642
1958week_0020_tables.csv,Mumps,374
1958week_0021_tables.csv,Chickenpox,538
1958week_0021_tables.csv,Mumps,267
1958week_0022_tables.csv,Chickenpox,539
1958week_0022_tables.csv,Mumps,317
1958week_0023_tables.csv,Chickenpox,661
1958week_0023_tables.csv,Mumps,312
1958week_0024_tables.csv,Chickenpox,609
1958week_0024_tables.csv,Mumps,356
1958week_0025_tables.csv,Chickenpox,525
1958week_0025_tables.csv,Mumps,275
1958week_0026_tables.csv,Chickenpox,631
1958week_0026_tables.csv,Mumps,246
1958week_0027_tables.csv,Chickenpox,486
1958week_0027_tables.csv,Mumps,179
1958week_0028_tables.csv,Chickenpox,365
1958week_0028_tables.csv,Mumps,151
1958week_0029_tables.csv,Chickenpox,321
1958week_0029_tables.csv,Mumps,188
1958week_0030_tables.csv,Chickenpox,266
1958week_0030_tables.csv,Mumps,111
1958week_0031_tables.csv,Chickenpox,192
1958week_0031_tables.csv,Mumps,66
1958week_0032_tables.csv,Chickenpox,1
1958week_0032_tables.csv,Mumps,
1958week_0033_tables.csv,Chickenpox,263
1958week_0033_tables.csv,Mumps,93
1958week_0034_tables.csv,Chickenpox,67
1958week_0034_tables.csv,Mumps,83
1958week_0035_tables.csv,Chickenpox,553
1958week_0035_tables.csv,Mumps,52
1958week_0036_tables.csv,Chickenpox,107
1958week_0036_tables.csv,Mumps,27
1958week_0037_tables.csv,Chickenpox,81
1958week_0037_tables.csv,Mumps,51
1958week_0038_tables.csv,Chickenpox,98
1958week_0038_tables.csv,Mumps,76
1958week_0039_tables.csv,Chickenpox,72
1958week_0039_tables.csv,Mumps,105
1958week_0040_tables.csv,Chickenpox,137
1958week_0040_tables.csv,Mumps,36
1958week_0041_tables.csv,Chickenpox,153
1958week_0041_tables.csv,Mumps,145
1958week_0042_tables.csv,Chickenpox,113
1958week_0042_tables.csv,Mumps,98
1958week_0043_tables.csv,Chickenpox,168
1958week_0043_tables.csv,Mumps,156
1958week_0044_tables.csv,Chickenpox,341
1958week_0044_tables.csv,Mumps,178
1958week_0045_tables.csv,Chickenpox,351
1958week_0045_tables.csv,Mumps,166
1958week_0046_tables.csv,Chickenpox,312
1958week_0046_tables.csv,Mumps,179
1958week_0047_tables.csv,Chickenpox,358
1958week_0047_tables.csv,Mumps,
1958week_0048_tables.csv,Chickenpox,394
1958week_0048_tables.csv,Mumps,219
1958week_0049_tables.csv,Chickenpox,487
1958week_0049_tables.csv,Mumps,265
1958week_0050_tables.csv,Chickenpox,534
1958week_0050_tables.csv,Mumps,202
1958week_0051_tables.csv,Chickenpox,522
1958week_0051_tables.csv,Mumps,243
1958week_0052_tables.csv,Chickenpox,232
1958week_0052_tables.csv,Mumps,267
1958week_0053_tables.csv,Chickenpox,265
1958week_0053_tables.csv,Mumps,115
