DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 14, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,474,646,1185,31016,34696,36106,..,..,..,..,..,..,1,13,38,..,..,..,92,152,322,246,312,438,11,15,51,..,..,..,..,..,..,124,154,157,1,,,,,,,,,,,
2,Diphtheria,-,4,4,141,134,134,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,8,17,12,604,606,665,-,3,-,2,1,-,-,-,-,-,-,-,1,..,..,-,1,2,3,-,2,-,5,-,-,1,-,2,6,2,3,,,,,,,,,,,
4,(a) Amoebic,1,-,-,8,2,5,-,-,-,1,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,7,17,12,596,603,662,-,3,-,1,1,-,-,-,-,-,-,-,1,..,..,-,1,2,3,-,2,-,5,-,-,1,-,2,6,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",2,-,-,33,46,41,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",707,824,110,169592,10858,10002,..,..,..,132,277,46,84,392,60,..,..,..,-,-,-,3,36,3,488,62,2,-,-,-,..,..,..,-,57,-,7,,,,,,,,,,,
8,Measles,285,385,1240,48500,51593,54505,-,-,17,..,..,..,2,47,60,..,..,..,10,78,197,68,71,258,37,33,60,..,..,..,127,103,46,41,53,136,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",7,4,6,331,275,275,3,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,1,1,1,-,-,..,..,..,1,1,1,9,,,,,,,,,,,
10,Mumps,182,339,739,21910,26831,26831,..,..,..,1,..,..,5,39,37,..,..,..,54,102,..,78,127,240,1,12,31,..,..,..,..,..,..,43,59,137,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",2,1,29,282,596,2358,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,2,1,-,2,1,-,6,-,-,5,11,,,,,,,,,,,
12,(a) With paralysis,2,1,11,179,366,1142,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,-,1,1,-,-,-,-,2,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,14,91,218,692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,13,,,,,,,,,,,
14,Rubella,86,105,81,16266,51470,9969,-,-,1,..,..,..,-,8,-,..,..,..,1,2,8,16,20,30,-,-,-,..,..,..,62,31,28,7,44,9,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",157,186,307,8200,11360,11360,18,15,7,8,11,15,55,99,38,-,-,1,16,15,90,30,26,70,-,5,11,7,-,18,16,3,26,7,11,26,15,,,,,,,,,,,
