DOMINION BUREAU OF STATISTICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 6, 1956, in comparison with the previous week 1, and the 5 year (1951-55) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. 
,,Report Week,Previous Week,Median 1951-55,Cumulative Total 3,,,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
,,,,,1956,1955,Median 1951-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,161,125,351,27298,25075,33908,-,2,2,-,-,-,13,4,7,..,..,..,42,35,63,52,60,107,4,6,16,3,..,20,..,..,8,47,18,51,1
2,Diphtheria,3,2,2,76,76,107,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery: 4,6,16,10,475,509,509,-,-,-,-,-,-,-,-,-,..,1,..,..,..,4,2,5,2,2,-,-,-,2,-,2,3,-,-,5,4,3
4,(a) Amoebic,1,-,-,2,2,9,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,5,16,9,473,507,507,-,-,-,-,-,-,-,-,-,..,1,..,..,..,4,1,5,2,2,-,-,-,2,-,2,3,-,-,5,4,5
6,"Encephalitis, infectious",1,7,-,37,25,32,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,1,3,..,-,4,-,-,-,-,-,-,-,-,-,-,6
