994,846,1394,32713,29968,41257,-,-,7,1,-,1,66,55,56,..,..,2,271,248,268,424,390,574,57,49,52,..,..,86,..,..,19,175,104,154,1
7,4,6,125,115,150,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,-,6,4,-,-,-,-,-,-,-,-,-,-,2
10,33,13,604,648,648,-,-,-,-,3,-,-,-,-,1,..,..,..,..,2,-,-,3,-,-,-,-,18,1,-,4,-,9,8,7,3
-,-,-,2,3,18,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
10,33,11,601,645,645,-,-,-,-,3,-,-,-,-,1,..,..,..,..,2,-,-,3,-,-,-,-,18,1,-,4,-,9,8,7,5
-,-,2,45,32,41,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,6
253,200,54,10631,37959,9900,..,..,..,54,36,-,197,148,39,..,..,..,-,-,-,-,1,2,2,9,3,-,-,-,..,..,..,-,6,-,7
1283,921,887,48672,52087,52435,-,-,3,..,..,..,13,61,88,..,..,3,358,192,131,493,389,196,46,39,31,..,..,20,68,48,50,305,192,76,8
5,5,5,269,280,273,-,1,-,-,1,-,-,-,-,-,1,-,-,1,-,1,-,2,1,-,-,1,-,-,..,..,..,2,1,1,9
540,494,701,25344,24844,32556,-,-,1,2,6,..,60,41,12,..,..,1,70,44,120,171,202,311,36,19,22,..,..,14,..,..,12,201,182,145,10
13,3,13,576,989,2514,-,2,-,-,-,-,-,-,-,-,-,-,9,7,1,-,2,4,1,-,-,-,-,3,2,9,3,1,3,4,11
9,18,5,329,528,1127,-,2,-,-,-,-,-,-,-,-,-,-,7,7,1,-,1,2,-,-,-,-,-,-,1,5,-,1,3,1,12
2,5,8,2--,371,1284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,4,-,-,-,3,13
294,248,132,51129,18823,9745,-,-,-,..,..,..,3,4,3,..,..,..,113,69,3,33,61,31,-,-,-,..,..,7,33,18,10,112,96,10,14
202,265,420,10903,8493,12626,2,9,4,22,28,8,65,120,5,-,1,2,27,29,72,38,41,67,9,2,17,1,7,35,28,13,54,10,15,52,15
-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
276,180,159,8499,9482,9656,15,3,15,2,-,3,-,3,1,14,2,6,137,65,52,16,28,31,16,16,19,3,9,6,29,27,16,44,27,21,17
251,145,120,6971,7515,7859,15,3,14,1,-,2,-,2,1,13,2,6,136,64,52,(6),(6),(6),15,16,19,2,9,4,29,24,16,40,25,16,18
9,7,9,482,553,506,-,-,-,1,-,-,-,1,-,1,-,-,1,1,2,(6),(6),(6),1,-,-,1,-,1,-,3,-,4,2,2,19
7,8,8,428,359,449,-,-,-,-,-,-,-,-,-,-,-,-,5,4,3,2,3,2,-,-,-,-,-,-,-,1,-,-,-,-,20
2,2,3,132,115,120,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,1,-,-,-,-,-,-,..,..,..,-,-,-,21
346,338,350,15627,15536,16880,6,6,3,3,3,-,17,8,14,3,4,3,82,66,92,47,57,67,38,33,25,20,16,23,54,58,61,76,87,50,22
4,2,3,106,115,193,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,1,-,1,-,-,1,-,-,23
2,3,2,52,46,102,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,24
43,45,53,1801,2114,2407,-,-,-,-,-,-,1,-,3,-,-,2,18,30,20,12,12,19,3,1,-,1,-,4,1,-,2,7,2,2,25
296,288,296,13657,13241,13465,6,6,3,3,3,-,16,8,12,3,4,3,61,34,67,35,45,45,35,31,24,17,15,19,52,58,54,68,84,48,26
1,-,-,11,20,20,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
196,150,217,8057,12922,8648,2,2,-,5,4,-,-,16,6,-,-,3,99,56,74,42,51,55,14,3,5,-,3,15,21,5,13,13,10,27,28
