750,841,1066,22430,20500,24823,2,7,6,2,6,1,38,28,45,-,-,1,168,183,178,324,386,434,38,29,27,..,..,32,..,..,43,178,202,180,1
-,1,1,45,48,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
32,10,14,249,223,223,-,-,-,-,-,-,-,-,-,..,..,..,1,1,1,2,1,2,1,-,-,-,-,-,1,2,-,27,6,8,3
-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
32,10,14,249,222,222,-,-,-,-,-,-,-,-,-,..,..,..,1,1,1,2,1,2,1,-,-,-,-,-,1,2,-,27,6,8,5
1,-,1,7,10,13,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,1,..,..,-,-,-,-,-,-,-,-,-,-,-,-,6
169,161,45,7247,35614,8611,..,..,..,89,76,..,66,79,26,-,-,1,-,-,-,-,3,2,10,1,2,-,-,-,..,..,..,4,2,3,7
1285,1659,1450,33415,35204,40172,5,4,4,13,11,3,18,21,17,-,-,-,497,568,445,560,861,491,24,42,37,..,..,30,42,18,185,126,134,208,8
7,6,4,149,138,140,3,3,-,..,1,..,-,-,-,-,2,-,1,-,1,1,-,-,1,-,-,-,-,-,1,..,..,-,-,-,9
629,574,662,18520,17187,24495,-,-,1,37,10,1,-,19,35,-,-,-,131,92,159,297,341,326,37,17,26,..,..,39,..,..,19,127,95,114,10
1,1,11,58,105,105,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,3,-,-,-,-,-,1,-,-,-,1,-,5,11
-,1,5,36,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,12
1,-,3,17,32,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,13
2475,1770,361,42460,14577,7200,1,-,-,..,..,..,11,13,12,..,..,..,958,609,39,1022,670,203,7,1,-,..,..,17,25,28,36,451,449,60,14
238,259,271,7285,5137,7984,1,1,5,5,10,2,37,19,6,-,-,7,28,84,91,149,124,53,1,-,13,-,2,9,9,5,23,8,14,36,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
168,161,199,3787,3907,4477,8,4,8,-,-,1,3,-,-,2,17,16,67,62,84,27,28,36,19,8,12,3,2,6,21,27,14,18,13,27,17
135,124,163,3011,3166,3549,8,4,6,-,-,1,3,-,-,2,16,16,66,59,79,(6),(6),(6),17,8,12,3,2,6,20,24,14,16,11,23,18
6,9,9,222,244,220,-,-,-,-,-,-,-,-,-,-,1,-,1,3,3,(6),(6),(6),2,-,-,-,-,2,1,3,1,2,2,3,19
13,21,10,164,103,192,-,1,-,-,-,-,-,-,-,-,1,-,5,13,4,1,3,-,-,-,-,-,-,-,2,-,-,5,3,-,20
2,5,2,62,43,46,-,-,-,-,-,-,-,-,-,..,..,..,1,3,1,1,2,1,-,-,-,-,-,-,..,..,..,-,-,-,21
330,265,353,6768,7127,7441,2,5,8,-,1,-,10,10,12,4,2,6,100,60,93,38,29,60,17,30,20,27,18,22,52,47,41,80,63,61,22
1,-,3,46,48,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,23
-,1,4,20,16,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,24
43,32,43,822,1027,1226,-,1,-,-,-,-,2,4,2,-,1,1,24,13,19,4,5,12,2,-,1,5,4,1,-,1,1,6,3,7,25
286,232,279,5880,6023,6023,2,4,7,-,1,-,8,6,11,4,1,4,76,47,66,34,24,50,15,30,17,22,14,14,52,45,39,73,60,51,26
-,-,-,-,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
145,169,134,3949,6122,3665,7,7,-,14,20,-,-,-,10,1,1,-,79,97,33,5,10,50,16,6,4,9,5,5,1,8,14,13,15,14,28
