DOMINION BUREAU OF STATISTICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended September 15, 1956, in comparison with the previous week 1, and the 5 year (1951-55) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. 
,,Report Week,Previous Week,Median 1951-55,Cumulative Total 3,,,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
,,,,,1956,1955,Median 1951-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,119,94,132,26893,24573,33005,2,-,1,-,-,1,5,6,4,..,..,..,59,24,35,30,46,38,5,3,10,..,..,12,..,..,5,18,15,18,1
2,Diphtheria,1,7,2,70,70,98,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,-,-,6,-,,-,-,1,1,-,-,-,-,2
3,Dysentery: 4,6,7,13,448,455,455,-,-,-,-,-,-,-,-,-,..,..,..,..,..,3,2,3,2,1,-,-,-,-,-,-,1,-,3,3,5,3
4,(a) Amoebic,-,1,-,1,2,9,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,6,6,13,447,453,453,-,-,-,-,-,-,-,-,-,..,..,..,..,..,3,2,2,2,1,-,-,-,-,-,-,1,-,3,3,5,5
6,"Encephalitis, infectious",2,2,2,26,22,26,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,1,..,..,1,-,-,-,1,1,-,-,-,-,1,-,6
