Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
1,Chickenpox,813,691,919,"15,929","15,084","17,327",27,2,2,5,1,3,18,18,34,-,-,-,240,199,170,395,296,421,15,14,35,.....,:,13,:,P...,21,113,161,149,1
2,Diphtheria,1,-,2,40,38,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
3,Dysentery:4,9,4,9,133,137,138,-,-,-,-,-,-,-,-,-,P..,R.P.,...,1,,...,1,-,1,-,-,-,-,-,-,1,-,-,6,4,4,3
4,(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,..A.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,9,4,9,133,137,137,-,-,-,-,-,-,-,-,-,,,...,1,*...,,1,-,1,-,-,-,-,-,-,1,-,-,6,4,4,5
6,Encephalitis, infectious,2,-,-,6,6,7,-,-,-,,,,-,-,-,-,-,-,,,....,,...,A.9.,-,-,-,-,-,-,-,-,-,2,-,-,6
7,Influenza, epidemic,170,399,301,"5,663","28,609","4,704",P...,,,80,86,.A,31,63,47,-,-,1,-,-,-,28,3,7,-,-,14,-,-,-,..A.,a.e.,,31,247,68,7
8,Measles,"1,195","1,391","1,481","22,544","23,347","25,645",4,2,12,22,15,3,58,43,37,-,-,2,511,634,381,529,531,536,28,33,63,3,P.A.,10,9,4,78,31,129,158,8
9,Meningitis, meningococcal,3,10,4,90,96,93,-,1,-,.A,1,P.A.,-,-,-,-,-,-,1,-,-,2,3,1,-,-,1,-,-,1,P.A,R.P.,...,-,5,-,9
10,Mumps,709,716,968,"12,615","12,101","16,960",-,-,1,12,14,1,6,4,23,-,-,-,170,104,224,352,404,356,36,51,33,2,1,50,...,A.P.,26,131,138,157,10
11,Poliomyelitis, epidemic:4,4,4,2,43,56,56,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,1,-,-,11
12,(a) With paralysis,3,2,2,26,39,39,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,12
13,(b) Without paralysis,1,2,-,12,13,12,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,13
14,Rubella,"2,636","1,836",350,"23,060","8,094","4,257",5,22,-,,,,30,19,18,,,,966,790,21,1255,298,218,3,22,2,,,9,15,8,26,362,677,18,14
15,Scarlet fever, etc.⁵,537,332,437,"4,945","3,532","5,714",-,1,-,12,14,7,57,37,6,-,-,15,200,51,105,203,180,74,2,2,11,38,1,23,12,12,50,13,34,65,15
16,Smallpox,-,-,,-,-,-,-,-,-,-,-,-,-,=,I,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,16
17,Tuberculosis:4,151,128,213,"2,314","2,425","2,815",11,7,5,1,1,-,5,1,4,21,9,16,35,61,83,21,15,29,5,10,18,5,2,6,16,8,11,31,14,29,17
18,(a) Pulmonary,117,108,160,"1,892","1,944","2,302",11,7,4,1,1,-,5,1,4,19,9,16,32,57,83,(6),(6),(6),4,9,18,3,2,5,13,8,10,29,14,27,18
19,(b) Non-pulmonary,13,5,9,135,161,130,-,-,-,-,-,-,-,-,-,2,-,-,3,4,1,(6),(6),(6),1,1,-,2,-,1,3,,,2,-,3,19
20,Typhoid and paratyphoid,5,4,6,88,65,130,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,2,-,1,-,-,-,-,-,1,1,-,-,1,2,-,20
21,Undulant fever,5,-,2,41,19,30,-,-,-,-,-,-,-,,-,,,,3,,1,1,-,1,1,-,-,-,-,-,,,,-,-,-,21
22,Venereal diseases:,329,270,292,"4,438","4,650","4,869",21,5,7,-,-,-,8,8,5,2,4,3,90,79,85,59,46,49,32,29,16,33,18,19,36,35,48,48,46,54,22
23,(a) Syphilis, primary,2,3,5,36,32,58,-,-,-,-,-,-,-,I,-,If,-,-,-,-,2,-,,-,-,1,-,1,-,-,1,2,-,-,-,-,23
24,(b) secondary,-,-,3,13,8,38,-,-,-,-,-,-,-,1,4,I,I,-,-,-,1,,-,-,-,,I,-,-,-,-,,=,-,-,-,24
25,(c) other,52,40,47,502,678,946,4,-,3,-,-,-,-,2,1,2,1,1,28,20,20,15,6,12,-,2,1,1,1,4,-,2,1,2,6,3,25
26,(d) Gonorrhoea,275,227,236,"3,887","3,923","3,834",17,5,4,-,-,-,8,6,2,-,3,2,62,59,56,44,40,43,32,26,14,31,17,14,35,31,47,46,40,50,26
27,(e) Other venereal diseases⁷,-,-,1,-,9,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,183,221,134,"2,453","4,511","2,487",1,34,1,16,11,-,1,5,1,-,2,-,80,106,48,17,22,42,13,2,7,14,2,3,7,4,9,34,33,10,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
