1,Chickenpox,519,"1,364",949,"35,467","32,871","44,937",-,-,4,-,5,1,43,78,15,,,,220,638,197,-,438,548,45,48,42,a.e.,,39,,,11,211,157,92,1
2,Diphtheria,2,2,8,136,136,184,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,2,-,1,... *,-,1,-,-,,2
3,Dysentery:4,4,4,12,617,669,669,-,-,-,-,-,-,-,-,-,4,,,,,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4,I 4,3
4,(a) Amoebic,-,-,-,2,3,18,-,-,-,-,-,-,-,-,-,,a,,,,,-,-,,,-,-,-,-,-,-,-,-,,-,-,,4
5,(b) Pacillary,4,4,6,614,666,666,-,-,-,-,-,-,-,-,-,4,...,....,,....,1,-,-,-,-,-,-,-,-,-,-,-,: -,-,4,- 4,5
6,Encephalitis, infectious,-,1,,46,35,41,-,-,-,...,.,...,-,-,-,-,-,-,,...,9.R,...,,...,-,-,-,-,-,-,-,-,-,-,1,-,6
7,Influenza, epidemic,28,121,48,"10,882","38,244","10,093",:,...,...,22,50,-,5,71,13,....,...,....,-,-,-,-,-,-,1,-,1,-,-,-,P.A,R.S.,...,-,-,-,7
8,Measles,806,"1,542",859,"52,275","56,137","56,137",-,-,31,...,1,...,35,10,100,A.P.,.,3,322,881,155,-,258,267,40,53,42,,...,9,107,115,53,302,224,130,8
9,Meningitis, meningococcal,2,5,6,279,298,292,1,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,...,,,-,-,1,9
10,Mumps,478,778,530,"27,192","26,616","34,584",-,-,-,4,...,...,12,45,8,R.O.,R,A.O.,132,222,70,-,231,319,22,17,36,,,12,a.e.,...,.. 3,308,263,75,10
11,Poliomyelitis, epidemic:4,2,5,18,611,"1,012","2,536",-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,1,-,1,2,1,-,-,-,1,1,1,=,2,11
12,(a) With paralysis,1,2,11,358,544,"1,155",-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,I,-,2,12
13,(b) Without paralysis,1,3,3,205,375,"1,292",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,,,-,1,-,1,I,I,13
14,Rubella,231,372,77,"51,983","20,085","10,064",-,-,-,,,,-,-,1,,,,48,135,4,-,37,28,4,-,1,a.e.,:,4,90,44,13,89,156,8,14
15,Scarlet fever, etc.⁵,94,242,295,"11,441","9,159","14,148",1,7,4,6,19,5,12,38,5,-,1,2,46,90,42,1,38,90,1,4,7,7,3,31,14,31,29,7,11,27,15
16,Smallpox,,-,,-,,-,-,-,-,,A.P.,,-,-,-,-,-,-,-,-,-,-,-,-,-,I,I,I,:,I,I,1,I,-,I,I,16
17,Tuberculosis:,166,244,149,"9,094","10,062","10,344",10,9,3,1,-,-,-,-,-,9,13,6,79,125,44,-,18,16,16,19,11,5,8,4,20,29,16,26,23,30,17
18,(a) Pulmonary,158,219,123,"7,501","8,004","8,390",10,9,2,-,-,-,-,-,-,9,12,6,78,123,42,(6),(6),(6),16,19,11,4,6.,3.,20,23,16,21,22,24,18
19,(b) Non-pulmonary,8,7,8,504,583,543,-,-,1,1,-,-,-,-,-,-,1,I,1,2,2,(6),(6),(6),-,-,I:,1,2,1,-,1,-,5,1,3,19
20,Typhoid and paratyphoid,5,11,5,450,372,459,-,-,-,-,-,-,-,-,-,-,2,I,4,7,1,-,2,1,-,-,-,-,1,-,I,-,I,1,-:,1,20
21,Undulant fever,1,3,1,138,120,131,-,-,-,-,-,-,-,-,-,-,-,-,P.A,3,1,-,-,-,-,-,-,I,-,I,,,...,1,=,I,21
22,Venereal diseases:,264,311,250,"16,540","16,417","17,953",2,10,2,4,-,-,2,8,8,1,1,1,66,45,31,-,53,44,28,31,24,28,20,23,43,70,35,90,73,43,22
23,(a) Syphilis, primary,1,4,2.,113,125,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,4,I,1,I,1,I,I,I,23
24,"(b) "" secondary",1,I,1,54,49,108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,I,I,-,-,-,I,I,1,24
25,(c) other,21,36,31,"1,899","2,199","2,556",-,1,1,-,-,-,-,2,1,1,-,-,12,20,9,-,10,8,3,2,1,1,I,1,I,I,2,4,1,3,25
26,(d) Gonorrhoea,240,271,218,"14,462","14,022","14,266",2,9,2,4,-,-,2,6,7,I,1,-,54,25,24,I,43,38,25,29,23,25,16,16,42,70,32,86,72,42,26
27,(e) Other venereal diseases⁷,1,-,-,12,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,27
28,Whooping cough,99,319,109,"8,650","13,521","9,277",-,-,-,3,2,1,-,-,2,2,-,-,76,242,49,-,34,31,2,2,2,2,10,11,2,14,9,12,15,8,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
