119,119,157,"27,012","24,717","33,264",-,2,1,-,-,1,2,5,7,:.,:.,:.,50,59,31,52,30,57,2,5,14,2,:,10,..,....,8,11,18,29,1,FILLER
1,1,2,71,71,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,FILLER
5,6,12,453,464,464,-,-,-,-,-,-,-,-,-,...,..,...,...,...,3,2,2,3,-,1,-,-,-,1,1,-,-,2,3,4,3,FILLER
-,-,-,1,2,9,-,-,-,-,-,-,-,-,-,...,...,...,9.8,....,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
5,6,12,452,462,462,-,-,-,-,-,-,-,-,-,*.9,...,...,..,...,3,2,2,3,-,1,-,-,-,1,1,-,-,2,3,4,5,FILLER
 infectious,3,2,2,29,24,29,-,-,-,,...,...,-,-,-,-,-,-,...,R.O.,9.8,2,1,...,1,1,-,-,-,-,-,-,-,-,-,-,6
 epidemic,147,54,39,"9,124","36,892","9,203",**,...,...,87,25,9..0,55,24,29,-,-,-,-,-,-,5,3,-,-,2,-,-,-,-,...,a.e.,...,-,-,-,7
235,197,212,"41,984","44,175","47,751",7,-,3,-,-,-,17,9,2,...,...,..,71,34,56,87,87,46,8,4,12,...,24,7,15,7,39,30,32,25,8,FILLER
 meningococcal,4,6,4,220,233,232,1,4,1,..,..,..,-,-,-,2,1,-,-,1,1,-,-,1,-,-,-,1,-,-,9.8,R.9.,..,-,-,-,9
139,153,179,"22,080","20,351","28,854",1,-,-,-,-,-,2,6,2,R.P,...,..,17,14,32,64,67,78,13,7,9,....,..,8,...,R.O.,12,42,59,28,10,FILLER
 epidemic:4,27,46,143,372,766,"1,865",-,-,-,-,-,2,1,-,4,1,1,5,13,15,12,5,19,32,-,-,6,1,3,6,1,4,14,5,4,15,11
11,20,68,199,393,774,-,-,-,-,-,-,-,-,3,-,-,-,8,7,4,2,10,15,-,-,2,1,-,4,-,2,-,-,1,11,12,FILLER
16,22,85,146,297,998,-,-,-,-,-,-,1,-,-,1,1,4,5,4,1,3,9,17,-,-,4,-,3,2,1,2,2,5,3,7,13,FILLER
95,92,29,"49,434","17,524","9,160",-,-,-,..,...,...,3,29,1,..,:.,,10,9,1,38,31,8,2,-,-,....,..,1,6,8,5,36,15,9,14,FILLER
 etc.⁵,129,75,94,"9,176","6,650","9,620",1,-,2,24,16,3,30,11,10,-,-,5,13,7,20,31,22,14,3,1,8,1,5,6,3,9,12,23,4,7,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
179,153,194,"6,714","7,096","7,615",6,8,5,1,3,2,4,2,1,11,9,10,92,33,84,13,13,13,10,9,16,9,6,13,18,53,10,15,17,26,17,FILLER
156,126,171,"5,461","5,842","6,284",6,8,5,-,3,1,3,1,1,11,9,10,88,33,80,(6),(6),(6),10,9,16,6,5,10,18,44,10,14,14,24,18,FILLER
10,14,6,419,430,392,-,-,-,1,-,-,1,1,-,-,-,-,4,-,1,(6),(6),(6),-,-,-,3,1,2,...,9,..,1,3,2,19,FILLER
19,9,11,328,277,335,1,-,-,-,-,-,-,-,-,-,-,1,4,3,6,1,-,1,-,-,-,1,-,-,1,-,-,11,6,1,20,FILLER
-,-,4,103,96,98,-,-,-,-,-,-,-,-,-,A.O.,...,a.a,...,...,1,-,-,1,-,-,-,-,-,-,..a,a.e.,,-,-:,$,21,FILLER
341,387,381,"11,997","12,310","13,046",17,16,11,1,-,1,15,6,14,9,3,6,77,94,95,65,58,61,19,29,34,17,22,31,69,66,51,52,93,53,22,FILLER
 primary,5,4,4,76,85,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,4,1,1,-,-,23
1,1,2,36,34,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,24,FILLER
44,52,48,"1,362","1,716","1,885",2,-,1,-,-,-,3,1,2,1,1,1,20,35,14,14,5,14,-,2,2,1,3,1,1,-,3,2,5,6,25,FILLER
291,325,305,"10,515","10,458","10,620",15,16,8,1,-,1,12,5,10,8,2,4,57,59,76,51,53,43,19,27,32,16,19,30,63,61,49,49,83,48,26,FILLER
-,5,-,8,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,27,FILLER
191,256,248,"6,290","10,112","6,308",-,1,-,1,-,1,2,2,3,2,1,-,112,139,80,25,25,47,4,13,6,11,40,11,15,19,22,19,16,19,28,FILLER
FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
week,Disease,year,Calendar,year,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
1955,1956,1955,1956,1955,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
"1,604","10,436","20,688","11,503","21,751",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
541,"4,408","6,941","4,991","7,405",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
652,"4,181","8,391","4,466","8,681",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
411,"1,847","5,356","2,046","5,665",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
