377,632,609,"24,967","22,956","29,323",1,4,2,8,6,5,23,27,31,,...,1,33,93,65,205,343,265,20,33,29,1,...,45,...,,6,86,126,103,1,FILLER
2,-,1,50,54,81,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,2,FILLER
8,16,12,308,258,258,-,-,-,-,-,-,-,-,-,,,,,1,1,-,2,-,-,-,-,-,-,-,-,-,-,8,13,5,3,FILLER
-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,-,-,-,-,-,,,,,,,4,FILLER
8,16,12,308,257,257,-,-,-,-,,-,-,-,-,...,....,...,....,1,1,-,2,-,-,-,-,-,-,-,-,-,-,8,13,5.,5,FILLER
 infectious,1,1,1,10,11,16,-,-,-,...,...,...,-,-,-,-,-,-,....,9.8,...,..A,P...,..A,-,-,-,1,1,-,-,-,-,-,-,-,6
 epidemic,133,168,35,"7,902","36,025","8,814",:.,..,...,97,140,..R,35,26,21,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,,,,I,=,3,7
698,"1,137",821,"38,022","40,340","43,584",2,2,3,19,12,6,18,20,16,...,R.9.,2,141,190,187,452,762,222,14,38,23,,a.e.,22,25,37,101,27,76,160,8,FILLER
 meningococcal,4,8,6,170,163,160,-,-,,..,...,..,1,2,-,-,-,-,-,-,-,1,-,1,-,1,1,-,2,-,..A,,,2,3,1,9
295,417,314,"20,386","13,707","26,769",-,-,1,10,8,-,-,3,4,,,,23,45,36,193,259,130,9,21,15,...,....,24,9.8,...,11,60,81,67,10,FILLER
 epidemic:4,2,2,29,72,152,152,-,-,-,-,-,-,-,,MP.,,-,-,MR,1,2,1,PM,9,-,-,1,1,-,1,-,-,3,-,1,4,11
2,2,13,45,93,93,-,-,-,-,-,-,-,-,-,,,-,-,1,2,1,-,3,PP,-,,1,-,-,-,-,-,-,1,2,12,FILLER
-,-,13,21,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,,-,,,,,2,13,FILLER
566,974,172,"47,524","16,777","8,474",-,1,-,R.P.,....,,12,38,8,A.A,,,70,152,12,208,497,57,2,1,-,,A.P.,- 2,19,19,10,255,266,34,14,FILLER
 etc.⁵,172,170,200,"8,030","5,731","8,862",1,1,6,21,7,3,66,34,-,-,-,1,6,16,38,58,85,30,1,3,8,1,3,9,4,10,24,14,11,21,15
-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,16,FILLER
171,167,185,"4,596","4,773","5,295",8,10,8,1,1,-,1,1,4,14,3,11,41,54,70,13,24,26,17,6,14,10,-,7,24,28,16,42,40,20,17,FILLER
145,134,163,"3,745","3,865","4,221",8,10,8,-,1,-,1,1,4,13,-,11,40,53,69,(6),(6),(6),16,6,14,8,-,6,23,26,14,36,37,18,18,FILLER
13,9,6,276,310,259,-,-,-,1,-,-,-,-,-,1,3,-,1,1,2,(6),(6),(6),1,-,-,2,-,1,1,2,2,6,3,1,19,FILLER
6,11,4,203,127,224,1,2,-,-,-,-,-,-,-,1,-,-,1,5,1,1,1,-,-,-,-,1,-,-,-,-,-,1,3,-,20,FILLER
-,3,2,76,57,62,-,-,-,-,-,-,-,-,-,..A,,,,1,1,-,1,1,-,1,-,-,-,-,,....,,-,-,-,21,FILLER
273,282,328,"7,961","8,305","8,770",2,-,6,-,-,-,2,8,6,6,2,8,46,50,85,29,46,57,17,21,28,30,23,20,54,56,42,87,76,61,22,FILLER
 primary,1,2,5.,50,58,109,-,-,-,-,-,-,-,F,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,1,-,-,,*,23
1,1,1,23,20,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,1,1,-,-,-,-,24,FILLER
30,36,45,952,"1,187","1,368",-,-,2,-,-,-,-,-,2,,-,-,14,19,25,5,5,9,2,-,1,2,4,2,1,2,1,6,6,2,25,FILLER
241,242,265,"6,935","7,027","7,027",2,-,5,-,-,-,2,8,2,6,2,5,32,31,58,24,40,40,15,20,27,27,19,16,52,52,41,81,70,61,26,FILLER
-,1,-,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,27,FILLER
93,130,123,"4,480","7,032","4,344",-,-,1,13,39,-,2,3,-,-,-,1,23,54,31,9,10,33,16,8,5,5,-,5.,1,5,21,24,11,19,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
